"spkid","full_name","moid_ld","H","rot_per","pha"
20153201,"153201 (2000 WO107)",1.11,19.30,5.022,Y
20153814,"153814 (2001 WN5)",0.738,18.28,4.253,Y
20154019,"154019 (2002 CZ9)",9.86,22.07,,Y
20154269,"154269 (2002 SM)",8.78,17.87,,Y
20154276,"154276 (2002 SY50)",1.53,17.61,4.823,Y
20154590,"154590 (2003 MA3)",5.09,21.70,,Y
20155338,"155338 (2006 MZ1)",5.06,20.40,,Y
20159857,"159857 (2004 LJ1)",6,15.47,2.72627,Y
20161989,"161989 Cacus (1978 CA)",5.61,17.31,3.7538,Y
20162000,"162000 (1990 OS)",3.51,19.64,2.536,Y
20162039,"162039 (1996 JG)",4.72,18.93,,Y
20162120,"162120 (1998 SH36)",4.68,20.64,,Y
20162162,"162162 (1999 DB7)",0.504,19.99,,Y
20162173,"162173 Ryugu (1999 JU3)",0.324,19.55,7.63262,Y
20162183,"162183 (1999 NB5)",5.07,21.25,,Y
20162361,"162361 (2000 AF6)",8.83,20.24,3.4558,Y
20162416,"162416 (2000 EH26)",0.42,21.67,24,Y
20162422,"162422 (2000 EV70)",4.63,20.60,,Y
20162474,"162474 (2000 LB16)",1.69,18.62,,Y
20162510,"162510 (2000 QW69)",9.21,17.60,,Y
20162567,"162567 (2000 RW37)",2.7,19.97,2.439,Y
20162695,"162695 (2000 UL11)",9.02,20.20,,Y
20162825,"162825 (2001 BO61)",6.37,17.97,,Y
20162922,"162922 (2001 OY13)",5.56,20.91,,Y
20162979,"162979 (2001 RA12)",8.31,18.29,,Y
20163026,"163026 (2001 XR30)",8.86,21.23,,Y
20163067,"163067 (2002 AP3)",4.61,19.99,,Y
20163132,"163132 (2002 CU11)",0.44,18.61,,Y
20163243,"163243 (2002 FB3)",1.53,16.47,6.231,Y
20163249,"163249 (2002 GT)",6.18,18.70,3.7663,Y
20163348,"163348 (2002 NN4)",2.54,20.05,14.5,Y
20163373,"163373 (2002 PZ39)",1.03,19.03,148.7,Y
20163683,"163683 (2002 YP2)",8.14,19.05,,Y
20163899,"163899 (2003 SD220)",6.96,17.56,285,Y
20164121,"164121 (2003 YT1)",0.565,16.15,2.343,Y
20164202,"164202 (2004 EW)",9.1,20.91,11.1,Y
20164207,"164207 Cardea (2004 GU9)",1.2,21.19,,Y
20164216,"164216 (2004 OT11)",8.19,17.28,,Y
20170086,"170086 (2002 XR14)",4.51,18.14,,Y
20171576,"171576 (1999 VP11)",0.968,18.67,2.796,Y
20172678,"172678 (2003 YM137)",6.11,18.89,,Y
20173561,"173561 (2000 YV137)",7.03,18.36,2.722,Y
20175729,"175729 (1998 BB10)",9.19,20.44,,Y
20177049,"177049 (2003 EE16)",0.0444,19.80,,Y
20177614,"177614 (2004 HK33)",3.5,17.58,,Y
20179806,"179806 (2002 TD66)",1.99,20.46,9.455,Y
20184266,"184266 (2004 VW14)",3.09,19.49,2.5009,Y
20185851,"185851 (2000 DP107)",5.58,18.31,2.7754,Y
20186844,"186844 (2004 GA1)",7.43,17.43,,Y
20187040,"187040 (2005 JS108)",7.26,19.20,,Y
20189040,"189040 (2000 MU1)",3.95,19.87,,Y
20194006,"194006 (2001 SG10)",6.6,20.46,,Y
20196625,"196625 (2003 RM10)",1.23,20.29,,Y
20197588,"197588 (2004 HE12)",3.65,17.12,,Y
20199003,"199003 (2005 WJ56)",8.76,18.16,4.3825,Y
20199801,"199801 (2007 AE12)",2.47,19.36,,Y
20206910,"206910 (2004 NL8)",8.16,17.28,,Y
20207398,"207398 (2006 AS2)",3.76,20.36,4.48,Y
20207945,"207945 (1991 JW)",7.92,19.61,3.1499,Y
20208023,"208023 (1999 AQ10)",2.2,20.52,2.67,Y
20208115,"208115 (2000 CT101)",4.45,20.85,,Y
20209215,"209215 (2003 WP25)",8.64,24.30,,N
20212546,"212546 (2006 SV19)",6.64,17.71,,Y
20215588,"215588 (2003 HF2)",1.18,19.42,,Y
20216258,"216258 (2006 WH1)",9.17,20.33,7.3,Y
20216985,"216985 (2000 QK130)",0.00439,21.34,,Y
20220839,"220839 (2004 VA)",9.08,17.43,6.7906,Y
20221455,"221455 (2006 BC10)",2.27,19.52,,Y
20226514,"226514 (2003 UX34)",5.83,20.16,,Y
20228368,"228368 (2000 WK10)",8.69,18.63,,Y
20231937,"231937 (2001 FO32)",1.35,17.58,39.905,Y
20234145,"234145 (2000 EW70)",3.92,21.58,33,Y
20242216,"242216 (2003 RN10)",2.36,15.61,,Y
20242643,"242643 (2005 NZ6)",2.13,17.39,7.,Y
20242708,"242708 (2005 UK1)",4.3,18.12,63.8,Y
20244977,"244977 (2004 BE68)",4.2,18.36,,Y
20247360,"247360 (2001 XU)",2.24,19.36,,Y
20251722,"251722 (1997 US2)",2.45,19.82,,Y
20252399,"252399 (2001 TX44)",3.55,19.41,,Y
20253841,"253841 (2003 YG118)",4.39,17.27,2.27,Y
20255071,"255071 (2005 UH6)",9.04,18.36,,Y
20260141,"260141 (2004 QT24)",2.92,18.31,7.66,Y
20264357,"264357 (2000 AZ93)",8.34,21.17,,Y
20265482,"265482 (2005 EE)",7.24,21.21,2.6534,Y
20267131,"267131 (2000 EK26)",1.04,18.24,,Y
20267221,"267221 (2001 AD2)",3.25,19.85,,Y
20267337,"267337 (2001 VK5)",0.35,18.05,39.05,Y
20269690,"269690 (1996 RG3)",1.01,18.47,,Y
20275677,"275677 (2000 RS11)",3.72,19.22,4.444,Y
20276033,"276033 (2002 AJ129)",2.15,18.78,3.9333,Y
20277475,"277475 (2005 WK4)",1.11,20.22,2.595,Y
20277570,"277570 (2005 YP180)",6.41,19.34,3.689,Y
20279744,"279744 (1998 KM3)",1.08,19.86,,Y
20290772,"290772 (2005 VC)",7.71,17.49,,Y
20292220,"292220 (2006 SU49)",0.059,19.39,,Y
