"spkid","full_name","moid_ld","H","rot_per","pha"
3757399,"       (2016 PN39)",5.27,25.50,,N
3757411,"       (2016 PZ39)",9.45,19.42,,Y
3757726,"       (2016 QY1)",6.78,23.28,,N
3757728,"       (2016 QA2)",0.0297,25.10,,N
3757878,"       (2016 QB11)",0.995,25.80,,N
3757901,"       (2016 QS11)",9.76,25.80,0.44616,N
3758248,"       (2016 QG44)",5.99,22.43,,N
3758255,"       (2016 QH44)",9.09,22.33,,N
3758250,"       (2016 QL44)",3.54,25.10,,N
3758260,"       (2016 QS44)",6.51,24.40,,N
3758274,"       (2016 QC45)",4.73,21.81,,Y
3759681,"       (2016 QY84)",3,29.60,,N
3758846,"       (2016 RW)",5.85,23.25,,N
3758847,"       (2016 RZ)",9.35,26.70,,N
3758923,"       (2016 RB1)",0.00836,28.30,0.0267,N
3758929,"       (2016 RR1)",0.262,28.00,,N
3758933,"       (2016 RS1)",0.519,29.20,,N
3758931,"       (2016 RU1)",1.62,27.60,,N
3758930,"       (2016 RW1)",6.97,27.00,,N
3759006,"       (2016 RH17)",2.12,23.50,,N
3759008,"       (2016 RL17)",0.519,26.58,,N
3759001,"       (2016 RM17)",4.31,27.60,,N
3759005,"       (2016 RO17)",2.09,26.51,,N
3759003,"       (2016 RP17)",3.96,24.50,,N
3759007,"       (2016 RQ17)",7.7,23.90,,N
3759247,"       (2016 RY17)",3.11,25.36,,N
3759244,"       (2016 RZ17)",5.68,25.50,,N
3759257,"       (2016 RC18)",9.63,26.10,,N
3759292,"       (2016 RR19)",1.76,28.60,,N
3759293,"       (2016 RJ20)",3.31,23.65,,N
3759289,"       (2016 RL20)",9.69,23.57,,N
3759288,"       (2016 RM20)",6.17,26.23,,N
3759295,"       (2016 RN20)",2.27,28.20,,N
3759297,"       (2016 RO20)",1.88,27.20,,N
3759315,"       (2016 RP20)",3.8,25.50,,N
3759353,"       (2016 RU33)",5.81,27.50,,N
3759351,"       (2016 RV33)",6.77,26.60,,N
3759360,"       (2016 RA34)",8.07,24.50,,N
3759358,"       (2016 RD34)",1.33,27.70,0.023,N
3759362,"       (2016 RE34)",1.02,28.30,,N
3759361,"       (2016 RF34)",4.14,24.50,,N
3759636,"       (2016 RJ40)",7.98,25.20,,N
3759640,"       (2016 RK40)",0.218,27.70,,N
3759641,"       (2016 RL40)",4.65,25.60,,N
3759643,"       (2016 RM40)",4.94,24.67,,N
3759644,"       (2016 RO40)",6.88,24.50,,N
3759645,"       (2016 RP40)",3.81,24.81,,N
3759690,"       (2016 RN41)",0.0634,31.02,,N
3759669,"       (2016 SC)",1.26,27.60,,N
3759668,"       (2016 SG)",2.46,26.60,,N
3759675,"       (2016 SJ)",0.367,29.00,,N
3759715,"       (2016 SF1)",0.486,24.70,,N
3759723,"       (2016 SW1)",0.731,28.50,,N
3759721,"       (2016 SX1)",1.53,28.60,,N
3759719,"       (2016 SY1)",1.71,26.80,,N
3759722,"       (2016 SZ1)",4.29,26.30,,N
3759724,"       (2016 SA2)",0.518,28.12,,N
3759759,"       (2016 SH2)",1.98,27.20,,N
3759749,"       (2016 SJ2)",1.3,26.50,,N
3759750,"       (2016 SK2)",0.433,25.30,,N
3759746,"       (2016 SL2)",2.36,25.40,,N
3759756,"       (2016 SR2)",0.0479,26.20,,N
3759758,"       (2016 SU2)",0.539,27.60,,N
3759768,"       (2016 SP3)",0.908,27.90,,N
3759777,"       (2016 SU3)",6.41,25.30,,N
3759778,"       (2016 SW3)",1.04,28.30,,N
3759983,"       (2016 SC17)",4.54,25.40,,N
3760060,"       (2016 SJ35)",1.13,24.60,,N
3760061,"       (2016 TA)",2.29,26.30,,N
3760081,"       (2016 TC)",3.38,25.93,,N
3760082,"       (2016 TD)",0.268,28.10,,N
3760085,"       (2016 TG)",6.23,25.40,,N
3760086,"       (2016 TH)",0.33,29.40,,N
3760088,"       (2016 TM)",0.636,27.50,,N
3760219,"       (2016 TS)",4.29,25.40,,N
3760218,"       (2016 TT)",0.427,26.00,,N
3760220,"       (2016 TU)",4.32,27.20,,N
3760339,"       (2016 TP2)",1.9,26.60,,N
3760341,"       (2016 TQ2)",2.15,26.40,,N
3760340,"       (2016 TR2)",5.32,26.30,,N
3760342,"       (2016 TS2)",5.09,26.50,,N
3760437,"       (2016 TH10)",2.69,24.82,,N
3760434,"       (2016 TJ10)",0.843,25.20,,N
3760439,"       (2016 TK10)",1.72,26.30,,N
3760440,"       (2016 TL10)",9.1,27.30,,N
3760441,"       (2016 TM10)",4.96,26.30,,N
3760494,"       (2016 TW10)",6.35,23.40,,N
3760492,"       (2016 TX10)",4.11,25.70,,N
3760491,"       (2016 TA11)",0.914,27.10,,N
3760497,"       (2016 TD11)",5.76,26.32,,N
3760526,"       (2016 TO11)",2.18,27.30,,N
3760530,"       (2016 TP11)",3.14,24.30,,N
3760533,"       (2016 TJ17)",0.415,25.30,,N
3760535,"       (2016 TX17)",4.1,23.50,,N
3760536,"       (2016 TB18)",4.14,24.80,,N
3760540,"       (2016 TD18)",8.19,23.56,,N
3760585,"       (2016 TJ18)",7.71,20.56,,Y
3760584,"       (2016 TK18)",1.63,27.40,,N
3760589,"       (2016 TO18)",9.13,25.70,,N
3760588,"       (2016 TP18)",6.65,24.78,,N
3760590,"       (2016 TQ18)",2.96,26.30,,N
3760647,"       (2016 TW18)",7.83,22.60,,N
3760627,"       (2016 TB19)",0.529,29.10,,N
3760679,"       (2016 TU19)",5.54,24.40,,N
3760675,"       (2016 TV19)",6.8,25.90,,N
3760680,"       (2016 TZ19)",7.06,23.15,,N
3760682,"       (2016 TQ54)",0.307,27.20,,N
3760684,"       (2016 TR54)",7.29,22.07,,N
3760683,"       (2016 TS54)",0.796,27.80,,N
3760879,"       (2016 TG55)",2.71,26.00,,N
3760882,"       (2016 TJ55)",1.96,23.90,,N
3760887,"       (2016 TT55)",8.77,25.90,,N
3760891,"       (2016 TY55)",0.73,26.90,,N
3760888,"       (2016 TZ55)",1.23,27.00,,N
3760959,"       (2016 TM56)",3.77,26.90,,N
3761034,"       (2016 TA57)",6.72,20.79,,Y
3761035,"       (2016 TB57)",0.0198,26.10,,N
3761036,"       (2016 TC57)",1.8,27.20,,N
3761126,"       (2016 TT92)",0.466,26.40,,N
3761483,"       (2016 TU93)",5.13,26.30,,N
3762460,"       (2016 TG94)",0.571,29.66,,N
3761146,"       (2016 UD)",0.145,26.60,,N
3761197,"       (2016 UE)",1.9,25.10,1.75483,N
3761271,"       (2016 US4)",3.45,24.41,,N
3761268,"       (2016 UT4)",4.43,22.30,,N
3761351,"       (2016 UP5)",6.4,24.40,,N
3761354,"       (2016 UR5)",2.96,26.70,,N
3761397,"       (2016 UX5)",5.34,26.50,,N
3761480,"       (2016 UZ25)",8.79,21.74,,Y
3761482,"       (2016 UD26)",5.74,24.30,,N
3761644,"       (2016 UR31)",1.18,24.70,,N
3761645,"       (2016 US31)",5.55,25.20,,N
3761732,"       (2016 UP36)",4.79,26.10,,N
3761731,"       (2016 UQ36)",0.0985,27.60,,N
3761735,"       (2016 UR36)",0.24,27.50,,N
3761744,"       (2016 UB41)",4.04,27.10,,N
3761743,"       (2016 UD41)",8.79,22.70,,N
3761752,"       (2016 UR41)",2.51,28.00,,N
3762125,"       (2016 UC42)",5.55,24.90,,N
3762171,"       (2016 UY56)",1.06,23.94,,N
3762166,"       (2016 UE57)",0.378,26.40,,N
3762173,"       (2016 UG57)",4.36,27.70,,N
3762170,"       (2016 UH57)",6.92,26.06,,N
3762886,"       (2016 UF101)",1.85,21.79,,Y
3762883,"       (2016 UH101)",5.4,22.61,,N
3763102,"       (2016 UB107)",2.7,25.20,,N
3763100,"       (2016 UC107)",2.6,25.60,,N
3763269,"       (2016 UR109)",6.62,22.18,,N
3762435,"       (2016 VA)",0.274,27.60,6,N
3763098,"       (2016 VG)",1.34,26.70,,N
3763101,"       (2016 VH)",0.809,26.70,,N
3763270,"       (2016 VQ)",0.439,26.00,,N
3763268,"       (2016 VR)",2.55,26.30,,N
3763271,"       (2016 VS)",0.617,27.40,,N
3763275,"       (2016 VZ)",3.06,25.90,,N
3763273,"       (2016 VA1)",8.62,23.50,,N
3763274,"       (2016 VB1)",0.586,28.57,,N
3763279,"       (2016 VN1)",8.58,25.78,,N
3763284,"       (2016 VO1)",2.98,23.14,,N
3763282,"       (2016 VP1)",0.0715,27.20,,N
3763286,"       (2016 VS1)",8.03,25.80,,N
3763337,"       (2016 VX1)",0.846,25.00,,N
3763338,"       (2016 VY1)",2.55,24.82,,N
3763339,"       (2016 VZ1)",5.34,26.10,,N
3763423,"       (2016 VK2)",8.32,25.00,,N
3763417,"       (2016 VL2)",8.68,27.00,,N
3763418,"       (2016 VO2)",5.98,26.70,,N
3763426,"       (2016 VW2)",9.58,26.31,,N
3763477,"       (2016 VN3)",6.08,26.20,,N
3763550,"       (2016 VB4)",3.68,23.80,,N
3763547,"       (2016 VD4)",1.4,27.60,,N
3763552,"       (2016 VE4)",0.463,26.40,,N
3763597,"       (2016 VR4)",1.08,28.90,,N
3763628,"       (2016 VU5)",4.01,27.40,,N
3763623,"       (2016 VW5)",6.97,24.20,,N
3763925,"       (2016 VH6)",2.69,26.20,,N
3765030,"       (2016 VZ17)",2.91,27.52,,N
3765024,"       (2016 VA18)",0.713,28.55,,N
3765025,"       (2016 VB18)",1.49,26.57,,N
3765027,"       (2016 VD18)",6.18,25.60,,N
3765029,"       (2016 VF18)",0.146,29.88,,N
3763929,"       (2016 WC)",0.948,27.70,,N
3763926,"       (2016 WF)",5.2,27.00,,N
3763930,"       (2016 WG)",0.576,23.20,,N
3763937,"       (2016 WH)",2.46,27.07,,N
3763938,"       (2016 WO)",5.48,25.60,,N
3763942,"       (2016 WQ)",3.64,25.50,,N
3763940,"       (2016 WR)",3.38,26.59,,N
3763939,"       (2016 WT)",0.117,29.79,,N
3763945,"       (2016 WU)",0.322,27.30,,N
3763948,"       (2016 WW)",9.46,25.30,,N
3763947,"       (2016 WX)",9.42,25.50,,N
3763944,"       (2016 WY)",1.2,29.20,,N
3763950,"       (2016 WF1)",1.44,27.70,,N
3763956,"       (2016 WM1)",2.72,24.80,,N
3763957,"       (2016 WN1)",2.34,25.40,,N
3763959,"       (2016 WQ1)",0.113,27.80,,N
3764252,"       (2016 WA2)",3.84,23.07,,N
3764255,"       (2016 WC2)",2.4,27.20,,N
3764703,"       (2016 WU2)",1.21,27.40,,N
3764704,"       (2016 WV2)",2.04,26.31,,N
3764705,"       (2016 WW2)",0.234,29.04,,N
3764719,"       (2016 WQ3)",1.52,28.80,,N
3764724,"       (2016 WT3)",0.861,28.60,,N
3764729,"       (2016 WD7)",3.82,27.30,,N
3764727,"       (2016 WF7)",1.47,28.80,,N
3764726,"       (2016 WG7)",1.22,26.00,,N
3764797,"       (2016 WJ7)",4.39,21.71,,Y
3764800,"       (2016 WL7)",5.3,24.30,,N
3764799,"       (2016 WM7)",9.47,26.04,,N
3764798,"       (2016 WN7)",3.5,27.90,,N
3764807,"       (2016 WT7)",6.32,25.90,,N
3764806,"       (2016 WU7)",4.38,25.20,,N
3764822,"       (2016 WY7)",5.84,22.77,,N
3764826,"       (2016 WA8)",7.15,24.70,,N
3764824,"       (2016 WB8)",0.493,25.90,,N
3764836,"       (2016 WQ8)",5.66,24.60,,N
3764838,"       (2016 WR8)",6.57,27.40,,N
3764845,"       (2016 WZ8)",4.16,28.40,,N
3764848,"       (2016 WF9)",4.81,20.08,,Y
3764863,"       (2016 WW9)",5.92,18.91,,Y
3764889,"       (2016 WC10)",1.87,27.10,,N
3764885,"       (2016 WF10)",9.21,22.80,,N
3764890,"       (2016 WH10)",4.22,26.00,,N
3765003,"       (2016 WL48)",4.63,24.90,,N
3766079,"       (2016 WR55)",1.11,28.34,,N
3765004,"       (2016 XA)",4.37,26.00,,N
3765016,"       (2016 XE)",1.24,28.20,,N
3765017,"       (2016 XG)",3.09,28.40,,N
3765021,"       (2016 XJ)",4.53,27.40,,N
3765020,"       (2016 XK)",3.87,23.20,,N
3765022,"       (2016 XM)",9.08,20.05,,Y
3765609,"       (2016 XP1)",7.97,26.80,,N
3765608,"       (2016 XQ1)",6.02,26.00,,N
3765611,"       (2016 XS1)",8.67,22.80,,N
3765642,"       (2016 XA2)",0.346,21.62,,Y
3765657,"       (2016 XV17)",4.45,24.70,,N
3765661,"       (2016 XW17)",7.13,20.39,,Y
3765704,"       (2016 XA18)",8.58,23.10,,N
3765705,"       (2016 XC18)",2.89,21.96,,Y
3765708,"       (2016 XK18)",2.16,24.50,,N
3765936,"       (2016 XW20)",1.77,26.70,,N
3765942,"       (2016 XZ20)",1.67,23.83,,N
3766012,"       (2016 XL23)",0.281,29.27,,N
3766036,"       (2016 XR23)",1.16,25.40,,N
3766049,"       (2016 YE)",9.35,25.90,,N
3766052,"       (2016 YF)",3.87,25.40,,N
3766053,"       (2016 YG)",9.09,26.00,,N
3766054,"       (2016 YH)",2.93,25.50,,N
3766050,"       (2016 YJ)",0.355,27.10,,N
3766066,"       (2016 YO)",4.01,24.67,,N
3766067,"       (2016 YP)",4.04,22.92,,N
3766068,"       (2016 YQ)",7.28,24.80,,N
3766069,"       (2016 YR)",5.63,27.20,,N
3766071,"       (2016 YS)",0.519,25.00,,N
3766076,"       (2016 YY)",7.24,25.40,,N
3766075,"       (2016 YZ)",4.21,21.40,,Y
3766122,"       (2016 YM3)",3.49,26.89,,N
3766127,"       (2016 YJ4)",8.83,23.30,,N
3766128,"       (2016 YK4)",2.08,26.10,,N
3766129,"       (2016 YM4)",4.24,22.38,,N
3766163,"       (2016 YB8)",7.37,24.50,,N
3766164,"       (2016 YC8)",0.469,24.60,,N
3766236,"       (2016 YY10)",7.8,25.90,,N
3766344,"       (2016 YC13)",3.78,26.66,,N
3766294,"       (2017 AE3)",8.42,21.90,1,Y
3766295,"       (2017 AG3)",9.41,25.40,,N
3766297,"       (2017 AK3)",0.361,24.60,,N
3766326,"       (2017 AZ3)",0.899,30.00,,N
3766338,"       (2017 AM4)",8.6,19.20,,Y
3766335,"       (2017 AN4)",4.5,23.10,,N
3766336,"       (2017 AO4)",2.57,24.90,,N
3766337,"       (2017 AP4)",1.8,27.00,,N
3766343,"       (2017 AS4)",0.394,26.80,,N
3766359,"       (2017 AD5)",1.46,24.10,,N
3766361,"       (2017 AG5)",0.982,22.40,7.346,N
3766363,"       (2017 AH5)",8.02,24.30,,N
3766431,"       (2017 AE13)",5.2,24.10,,N
3766432,"       (2017 AF13)",1.87,26.50,,N
3766433,"       (2017 AG13)",0.0249,26.10,,N
3766438,"       (2017 AJ13)",5.48,24.10,,N
3766437,"       (2017 AK13)",5.54,23.60,,N
3766463,"       (2017 AY13)",4.8,21.61,,Y
3766500,"       (2017 AP19)",3.55,23.60,,N
3766665,"       (2017 AT20)",1.18,27.16,,N
3766654,"       (2017 AA21)",6.52,26.18,,N
3766658,"       (2017 AE21)",2.78,24.81,,N
3766588,"       (2017 BS)",4.77,24.50,,N
3766591,"       (2017 BU)",8.91,25.21,,N
3766590,"       (2017 BW)",3.94,23.49,14.559,N
3766593,"       (2017 BX)",0.225,28.00,,N
3766594,"       (2017 BY)",0.687,25.50,,N
3766608,"       (2017 BF3)",7.29,20.92,,Y
3766635,"       (2017 BL3)",2.33,20.41,,Y
3766634,"       (2017 BM3)",3.53,23.00,,N
3766964,"       (2017 BP5)",1.34,20.53,,Y
3766965,"       (2017 BR5)",1.82,27.60,,N
3766966,"       (2017 BS5)",2.92,24.24,36.1,N
3766994,"       (2017 BY5)",6.32,25.80,,N
3766993,"       (2017 BB6)",4.79,27.10,,N
3766996,"       (2017 BC6)",6.83,26.70,,N
3766999,"       (2017 BD6)",0.645,28.40,,N
3767000,"       (2017 BN6)",1.31,27.40,,N
3767010,"       (2017 BO6)",5.41,26.10,,N
3767007,"       (2017 BQ6)",4.76,21.40,2.15,Y
3767008,"       (2017 BR6)",3.85,27.90,,N
3767003,"       (2017 BW6)",6.13,25.30,,N
3767016,"       (2017 BA7)",0.316,28.10,,N
3767014,"       (2017 BB7)",2.88,28.10,,N
3767151,"       (2017 BB30)",3.65,25.20,,N
3767157,"       (2017 BE30)",3.58,26.10,,N
3767152,"       (2017 BF30)",3.8,24.20,,N
3767154,"       (2017 BG30)",2.32,29.40,,N
3767158,"       (2017 BH30)",0.311,28.80,,N
3767159,"       (2017 BJ30)",1.03,26.70,0.0871,N
3767160,"       (2017 BK30)",0.738,27.30,,N
3767162,"       (2017 BL30)",0.125,23.26,,N
3767161,"       (2017 BM30)",1.66,26.50,,N
3767165,"       (2017 BN30)",9.24,25.70,,N
3767166,"       (2017 BQ30)",3.65,25.40,,N
3767167,"       (2017 BW30)",1.1,23.80,,N
3767248,"       (2017 BP31)",9.03,19.84,,Y
3767249,"       (2017 BR31)",10,21.40,,Y
3767250,"       (2017 BS31)",9.62,21.94,,Y
3767251,"       (2017 BF32)",0.559,24.10,,N
3767260,"       (2017 BK32)",9.42,26.10,,N
3767261,"       (2017 BN32)",8.51,24.80,,N
3767255,"       (2017 BO32)",0.909,24.30,,N
3767256,"       (2017 BR32)",6.89,26.70,,N
3767264,"       (2017 BS32)",0.235,27.58,0.179,N
3767310,"       (2017 BU32)",5.41,26.50,,N
3767315,"       (2017 BY32)",2.41,26.46,,N
3767320,"       (2017 BF92)",7.25,26.60,,N
3767322,"       (2017 BG92)",1.46,28.77,,N
3767871,"       (2017 BN92)",3.95,25.73,,N
3767927,"       (2017 BL93)",7.6,22.95,,N
3767929,"       (2017 BM93)",1.2,26.50,,N
3767925,"       (2017 BN93)",7.23,25.40,,N
3767936,"       (2017 BQ93)",9.75,20.60,,Y
3767935,"       (2017 BS93)",7.37,22.50,,N
3767937,"       (2017 BW93)",5.73,25.20,,N
3768016,"       (2017 BY93)",0.203,23.10,0.82255,N
3769436,"       (2017 BF136)",6.43,26.13,,N
3768021,"       (2017 CP)",8.07,27.20,,N
3768023,"       (2017 CR)",3.36,26.61,,N
3768019,"       (2017 CS)",7.17,19.87,40.34,Y
3768608,"       (2017 CH1)",1.34,18.00,,Y
3768616,"       (2017 CO1)",4.01,23.52,,N
3768617,"       (2017 CP1)",3.26,24.60,,N
3768620,"       (2017 CR1)",8.59,27.80,,N
3768654,"       (2017 CX1)",3.45,28.20,,N
3768843,"       (2017 CR5)",8.27,26.90,,N
3769379,"       (2017 CX31)",1.71,25.12,,N
3769393,"       (2017 CF32)",1.58,26.20,3.575,N
3769400,"       (2017 CP32)",1.02,24.01,1.7,N
3769401,"       (2017 CQ32)",2.27,24.20,,N
3769468,"       (2017 CY32)",0.807,28.51,,N
3769412,"       (2017 DB)",0.0582,27.00,,N
3769408,"       (2017 DC)",9.33,23.00,,N
3769410,"       (2017 DD)",1.18,23.20,,N
3769409,"       (2017 DF)",1.52,26.60,,N
3769709,"       (2017 DS15)",2.01,25.70,,N
3769707,"       (2017 DV15)",7.14,25.20,,N
3769751,"       (2017 DG16)",0.426,29.30,,N
3769749,"       (2017 DH16)",2.74,27.10,,N
3769750,"       (2017 DJ16)",2.8,25.80,,N
3769806,"       (2017 DK34)",5.75,26.80,,N
3769811,"       (2017 DP34)",9.51,24.20,,N
3769809,"       (2017 DR34)",0.564,29.20,,N
3769810,"       (2017 DS34)",6.97,25.70,,N
3769813,"       (2017 DT34)",1.21,27.80,,N
3769817,"       (2017 DU34)",6.58,26.80,,N
3769814,"       (2017 DX34)",4.75,25.20,,N
3769875,"       (2017 DP35)",0.378,22.30,,N
3769874,"       (2017 DQ35)",4.9,22.70,,N
3769881,"       (2017 DV35)",4.38,27.20,,N
3769885,"       (2017 DZ35)",5.07,26.30,,N
3769886,"       (2017 DA36)",0.815,25.10,,N
3769888,"       (2017 DC36)",0.0579,22.14,7.1389,N
3769882,"       (2017 DD36)",1.88,26.70,,N
3769913,"       (2017 DP36)",0.935,28.30,,N
3769919,"       (2017 DV36)",1.06,27.90,,N
3770142,"       (2017 DS37)",7.31,27.30,,N
3770154,"       (2017 DZ37)",1.02,28.60,,N
3770148,"       (2017 DA38)",6.24,25.00,,N
3770149,"       (2017 DD38)",1.16,24.50,,N
3770152,"       (2017 DF38)",2.2,26.00,,N
3770275,"       (2017 DZ108)",9.92,26.20,,N
3770290,"       (2017 DP109)",0.556,26.90,,N
3770320,"       (2017 DR109)",2.2,27.60,,N
3770322,"       (2017 DS109)",0.985,26.17,,N
3771595,"       (2017 DW119)",9.01,26.77,,N
3771596,"       (2017 DX119)",1.9,28.51,,N
3771597,"       (2017 DY119)",6.55,26.08,,N
3770280,"       (2017 EA)",0.0662,30.80,,N
3770289,"       (2017 ED)",4.76,26.30,,N
3770321,"       (2017 EF)",6.14,27.20,,N
3770326,"       (2017 EJ)",4.72,25.40,,N
3770325,"       (2017 EK)",4.11,24.24,0.0083,N
3770329,"       (2017 EM)",4.46,25.80,,N
3770330,"       (2017 EN)",2.08,20.62,,Y
3770351,"       (2017 EV)",0.691,26.73,,N
3770350,"       (2017 EW)",1.49,27.00,,N
3770986,"       (2017 EG1)",4.34,27.65,,N
3770987,"       (2017 EJ1)",0.907,27.70,,N
3771011,"       (2017 ET2)",2.35,25.90,,N
3771014,"       (2017 EU2)",1.99,25.30,,N
3771018,"       (2017 EZ2)",5.47,25.10,0.0138,N
3771020,"       (2017 EA3)",9.86,23.20,0.71,N
3771022,"       (2017 EB3)",5.29,25.00,,N
3771021,"       (2017 EE3)",7.59,26.00,0.105,N
3771026,"       (2017 EG3)",4.35,26.40,,N
3771025,"       (2017 EK3)",9.99,26.30,2.,N
3771065,"       (2017 EE4)",5.11,25.00,0.00699,N
3771061,"       (2017 EF4)",6.05,26.26,,N
3771066,"       (2017 EJ4)",7.75,25.40,,N
3771068,"       (2017 EL4)",8.01,25.40,,N
3771452,"       (2017 ER13)",6.53,21.60,,Y
3771599,"       (2017 EA23)",1.5,26.11,,N
3771600,"       (2017 EB23)",7.4,25.10,,N
3771602,"       (2017 ED23)",2.42,24.57,,N
3771564,"       (2017 FJ)",1.42,28.20,0.0165,N
3771566,"       (2017 FK)",1.7,27.41,0.00428,N
3771590,"       (2017 FR)",2.28,25.20,,N
3771591,"       (2017 FS)",0.666,28.90,,N
3771588,"       (2017 FV)",0.977,24.60,,N
3771586,"       (2017 FW)",2.34,26.60,,N
3771617,"       (2017 FY)",4.9,24.80,,N
3771612,"       (2017 FA1)",9.98,23.80,,N
3771610,"       (2017 FB1)",4.03,23.38,,N
3771619,"       (2017 FE1)",6.89,20.10,,Y
3771613,"       (2017 FF1)",3.02,26.00,,N
3771620,"       (2017 FM1)",0.186,29.50,,N
3771621,"       (2017 FN1)",0.0576,30.60,,N
3771622,"       (2017 FM2)",4.9,25.60,,N
3771629,"       (2017 FR2)",9.34,23.00,,N
3771626,"       (2017 FU2)",1.37,27.80,,N
3771637,"       (2017 FV2)",9.58,23.20,,N
3771628,"       (2017 FW2)",4.64,25.60,,N
3771633,"       (2017 FZ2)",0.682,26.60,,N
3771640,"       (2017 FA3)",1.29,28.00,,N
3771641,"       (2017 FB3)",4.85,25.90,,N
3771639,"       (2017 FC3)",0.521,23.60,,N
3771635,"       (2017 FD3)",0.334,27.70,,N
3771644,"       (2017 FF3)",4.63,27.00,,N
3771638,"       (2017 FG3)",3.73,23.10,,N
3771645,"       (2017 FH3)",9.85,22.71,,N
3771642,"       (2017 FJ3)",2.18,29.90,,N
3771643,"       (2017 FK3)",7.65,26.20,,N
3771793,"       (2017 FL63)",3.61,26.00,,N
3771791,"       (2017 FO63)",6.06,23.44,,N
3771800,"       (2017 FQ63)",4.51,25.10,,N
3771799,"       (2017 FR63)",7.22,26.10,,N
3772381,"       (2017 FL64)",1.33,28.50,,N
3772382,"       (2017 FQ64)",3.17,20.94,,Y
3772392,"       (2017 FU64)",3.69,23.80,,N
3772400,"       (2017 FY64)",1.75,22.60,,N
3772389,"       (2017 FC65)",4.16,25.70,,N
3772396,"       (2017 FE65)",8.83,20.65,,Y
3772694,"       (2017 FK90)",4.33,22.60,,N
3772697,"       (2017 FN90)",9.87,22.30,,N
3772757,"       (2017 FS90)",4.07,26.26,,N
3772756,"       (2017 FU90)",0.836,25.27,,N
3772759,"       (2017 FW90)",0.008,28.14,,N
3772761,"       (2017 FX90)",1.6,26.33,,N
3772844,"       (2017 FR91)",0.294,26.90,,N
3772846,"       (2017 FS91)",3.73,26.30,,N
3772974,"       (2017 FJ101)",0.719,28.30,,N
3772981,"       (2017 FL101)",6.79,25.63,,N
3772983,"       (2017 FM101)",1.33,26.60,,N
3772985,"       (2017 FN101)",5.07,24.70,,N
3772984,"       (2017 FO101)",2.04,25.20,,N
3772996,"       (2017 FT101)",8.99,25.70,,N
3772990,"       (2017 FU101)",5.95,27.84,,N
3772995,"       (2017 FX101)",6.37,25.38,,N
3772993,"       (2017 FY101)",0.833,27.20,,N
3772997,"       (2017 FA102)",1.19,25.49,,N
3772998,"       (2017 FB102)",1.02,26.84,,N
3773054,"       (2017 FN102)",4.27,23.78,,N
3773051,"       (2017 FR102)",0.766,24.72,,N
3773056,"       (2017 FS102)",2.75,26.90,,N
3773057,"       (2017 FT102)",0.836,29.50,,N
3773058,"       (2017 FU102)",0.0914,28.70,,N
3773594,"       (2017 FN127)",8.3,25.60,,N
3773596,"       (2017 FO127)",8.49,26.80,,N
3773598,"       (2017 FP127)",4.6,28.40,,N
3773597,"       (2017 FQ127)",1.84,26.30,,N
3773651,"       (2017 FF128)",1.75,25.61,,N
3773652,"       (2017 FJ128)",9.51,22.70,,N
3773654,"       (2017 FM128)",9.92,22.30,,N
3773658,"       (2017 FN128)",0.661,19.08,,Y
3773657,"       (2017 FO128)",1.4,22.52,,N
3773660,"       (2017 FP128)",4.77,23.90,,N
3773655,"       (2017 FS128)",5.98,24.16,,N
3773662,"       (2017 FV128)",5.33,24.30,,N
3773664,"       (2017 FW128)",2.4,27.38,,N
3773744,"       (2017 FB157)",3.47,27.70,,N
3773749,"       (2017 FD157)",0.11,22.38,,N
3774033,"       (2017 FW158)",0.118,28.37,,N
3774034,"       (2017 FX158)",0.394,28.98,,N
3774032,"       (2017 FA159)",1.89,28.22,,N
3773672,"       (2017 GM)",0.0483,29.90,,N
3773750,"       (2017 GH4)",2.45,25.30,,N
3773748,"       (2017 GJ4)",3.42,25.90,,N
3773760,"       (2017 GM4)",1.51,22.00,2.878,Y
3773755,"       (2017 GO4)",9.34,25.00,,N
3773757,"       (2017 GP4)",9.96,26.10,,N
3773758,"       (2017 GT4)",3.1,26.70,,N
3773763,"       (2017 GW4)",2.42,27.80,,N
3773839,"       (2017 GO5)",7.37,25.60,,N
3773925,"       (2017 GK6)",1.99,25.70,,N
3773913,"       (2017 GM6)",1.13,26.00,,N
3773924,"       (2017 GN6)",2.51,27.90,,N
3773923,"       (2017 GX6)",2.84,27.40,,N
3773930,"       (2017 GM7)",2.62,18.94,,Y
3774039,"       (2017 GG8)",0.271,26.10,,N
3773987,"       (2017 HD)",2.36,26.70,,N
3773985,"       (2017 HE)",2.29,26.70,,N
3773988,"       (2017 HF)",2.56,26.70,,N
3773990,"       (2017 HG)",2.51,26.13,,N
3773986,"       (2017 HJ)",0.247,27.53,,N
3774004,"       (2017 HW)",9.31,27.30,,N
3774008,"       (2017 HY)",0.705,27.50,,N
3774007,"       (2017 HZ)",8.21,27.00,,N
3774010,"       (2017 HB1)",3.29,26.30,,N
3774018,"       (2017 HF1)",4.05,22.69,,N
3774014,"       (2017 HG1)",2.32,27.50,,N
3774019,"       (2017 HH1)",1.64,25.60,,N
3774012,"       (2017 HK1)",5.79,25.10,,N
3774015,"       (2017 HL1)",5.51,26.80,,N
3774054,"       (2017 HJ2)",8.88,25.10,,N
3774065,"       (2017 HT2)",3.3,18.36,,Y
3774066,"       (2017 HU2)",1.27,25.93,,N
