"spkid","full_name","e","per_y","class"
20161989,"161989 Cacus (1978 CA)",0.2138,1.19,APO
20162000,"162000 (1990 OS)",0.4624,2.17,APO
20162039,"162039 (1996 JG)",0.6604,2.42,APO
20162120,"162120 (1998 SH36)",0.5710,1.13,APO
20162162,"162162 (1999 DB7)",0.1948,1.32,APO
20162173,"162173 Ryugu (1999 JU3)",0.1911,1.3,APO
20162183,"162183 (1999 NB5)",0.5349,2.98,APO
20162361,"162361 (2000 AF6)",0.4111,0.82,ATE
20162416,"162416 (2000 EH26)",0.4781,2.52,APO
20162422,"162422 (2000 EV70)",0.5311,1.33,APO
20162474,"162474 (2000 LB16)",0.3573,1.38,APO
20162510,"162510 (2000 QW69)",0.3023,1.61,APO
20162567,"162567 (2000 RW37)",0.2501,1.39,APO
20162695,"162695 (2000 UL11)",0.6356,3.09,APO
20162825,"162825 (2001 BO61)",0.7443,2.36,APO
20162922,"162922 (2001 OY13)",0.3818,1.51,APO
20162979,"162979 (2001 RA12)",0.5437,2.91,APO
20163026,"163026 (2001 XR30)",0.3651,1.48,APO
20163067,"163067 (2002 AP3)",0.5859,2.93,APO
20163132,"163132 (2002 CU11)",0.2952,1.35,APO
20163243,"163243 (2002 FB3)",0.6016,0.665,ATE
20163249,"163249 (2002 GT)",0.3348,1.56,APO
20163348,"163348 (2002 NN4)",0.4346,0.82,ATE
20163373,"163373 (2002 PZ39)",0.5463,1.78,APO
20163683,"163683 (2002 YP2)",0.6882,1.98,APO
20163899,"163899 (2003 SD220)",0.2094,0.753,ATE
20164121,"164121 (2003 YT1)",0.2921,1.17,APO
20164202,"164202 (2004 EW)",0.2790,0.982,ATE
20164207,"164207 Cardea (2004 GU9)",0.1359,1,APO
20164216,"164216 (2004 OT11)",0.5656,3.15,APO
20170086,"170086 (2002 XR14)",0.6261,2.63,APO
20171576,"171576 (1999 VP11)",0.5837,1.13,APO
20172678,"172678 (2003 YM137)",0.7028,4.09,APO
20173561,"173561 (2000 YV137)",0.3111,1.74,APO
20175729,"175729 (1998 BB10)",0.4245,1.43,APO
20177049,"177049 (2003 EE16)",0.6142,1.69,APO
20177614,"177614 (2004 HK33)",0.5204,2.6,APO
20179806,"179806 (2002 TD66)",0.5348,2.53,APO
20184266,"184266 (2004 VW14)",0.5980,3.09,APO
20185851,"185851 (2000 DP107)",0.3767,1.59,APO
20186844,"186844 (2004 GA1)",0.6734,3.78,APO
20187040,"187040 (2005 JS108)",0.3222,1.58,APO
20189040,"189040 (2000 MU1)",0.3824,1.61,APO
20194006,"194006 (2001 SG10)",0.4246,1.74,APO
20196625,"196625 (2003 RM10)",0.5923,2.51,APO
20197588,"197588 (2004 HE12)",0.4660,2.51,APO
20199003,"199003 (2005 WJ56)",0.1520,0.939,ATE
20199801,"199801 (2007 AE12)",0.5694,2.19,APO
20206910,"206910 (2004 NL8)",0.7156,4.13,APO
20207398,"207398 (2006 AS2)",0.6420,3.02,APO
20207945,"207945 (1991 JW)",0.1186,1.06,APO
20208023,"208023 (1999 AQ10)",0.2353,0.902,ATE
20208115,"208115 (2000 CT101)",0.3547,1.48,APO
20209215,"209215 (2003 WP25)",0.1212,0.984,ATE
20212546,"212546 (2006 SV19)",0.5151,3.12,AMO
20215588,"215588 (2003 HF2)",0.6755,1.18,APO
20216258,"216258 (2006 WH1)",0.4851,2.16,APO
20216985,"216985 (2000 QK130)",0.2618,1.28,APO
20220839,"220839 (2004 VA)",0.5951,2.62,APO
20221455,"221455 (2006 BC10)",0.6568,2.87,APO
20226514,"226514 (2003 UX34)",0.6158,1.15,APO
20228368,"228368 (2000 WK10)",0.7022,1.8,APO
20231937,"231937 (2001 FO32)",0.8258,2.21,APO
20234145,"234145 (2000 EW70)",0.3213,0.908,ATE
20242216,"242216 (2003 RN10)",0.5418,3.33,AMO
