"spkid","full_name","e","per_y","class"
3387534,"       (2007 TH3)",0.1210,0.953,ATE
3387548,"       (2007 TL5)",0.5955,0.809,ATE
3387550,"       (2007 TB14)",0.6372,3.93,APO
3387614,"       (2007 TL15)",0.5436,1.63,APO
3387616,"       (2007 TL16)",0.3995,1.76,APO
3388076,"       (2007 TX22)",0.4358,2.01,APO
3388081,"       (2007 TL23)",0.7365,1.21,APO
3388311,"       (2007 TQ24)",0.5394,0.707,ATE
3388315,"       (2007 TU24)",0.5333,2.92,APO
3388317,"       (2007 TW24)",0.5964,3.18,APO
3388397,"       (2007 TU68)",0.5678,3.59,APO
3388400,"       (2007 TX68)",0.5325,2.9,APO
3388401,"       (2007 TZ68)",0.4203,2.11,APO
3388410,"       (2007 TH71)",0.3130,1.55,APO
3388411,"       (2007 TH72)",0.6413,2.91,APO
3388489,"       (2007 UJ)",0.1407,1.23,APO
3389195,"       (2007 UW1)",0.1209,0.864,ATE
3389362,"       (2007 UT3)",0.4002,0.678,ATE
3389465,"       (2007 UC6)",0.6004,2.02,APO
3389466,"       (2007 UD6)",0.2423,1.37,APO
3389467,"       (2007 UE6)",0.5717,1.93,APO
3389468,"       (2007 UF6)",0.5244,2.74,APO
3389487,"       (2007 UO6)",0.5995,3.43,APO
3389488,"       (2007 UP6)",0.0943,0.952,ATE
3390107,"       (2007 UL12)",0.8046,2.76,APO
3390109,"       (2007 UN12)",0.0587,1.08,APO
3390647,"       (2007 US12)",0.5147,0.863,ATE
3391853,"       (2007 UR51)",0.6907,2.11,APO
3391854,"       (2007 US51)",0.6326,3.25,APO
3392084,"       (2007 VG)",0.6651,2.74,APO
3392298,"       (2007 VZ2)",0.1871,0.98,ATE
3392299,"       (2007 VA3)",0.6103,3.84,APO
3392301,"       (2007 VC3)",0.3186,1.2,APO
3392303,"       (2007 VE3)",0.6973,3.42,APO
3392305,"       (2007 VG3)",0.6943,5.99,APO
3392307,"       (2007 VJ3)",0.6150,3.11,APO
3392309,"       (2007 VL3)",0.4521,1.75,APO
3392364,"       (2007 VS6)",0.4458,1.37,APO
3392366,"       (2007 VU6)",0.0906,0.965,ATE
3392370,"       (2007 VV7)",0.4382,2.37,APO
3392374,"       (2007 VD8)",0.5940,3.48,APO
3393817,"       (2007 VU83)",0.5869,3.61,APO
3393820,"       (2007 VX83)",0.4499,1.35,APO
3394072,"       (2007 VZ137)",0.5855,2.22,APO
3394074,"       (2007 VB138)",0.4308,0.679,ATE
3394077,"       (2007 VE138)",0.4184,1.58,APO
3394535,"       (2007 VD184)",0.5029,2.71,APO
3394541,"       (2007 VK184)",0.5695,2.27,APO
3394754,"       (2007 VF189)",0.3853,1.33,APO
3394752,"       (2007 VH189)",0.7241,4.25,APO
3394773,"       (2007 VB191)",0.6144,3.66,APO
3394775,"       (2007 VD191)",0.2455,1.17,APO
3394776,"       (2007 VE191)",0.6277,2.64,APO
3395311,"       (2007 VN243)",0.6100,3.16,APO
3395313,"       (2007 VP243)",0.5829,3.4,APO
3394778,"       (2007 WA)",0.1528,1.05,APO
3395953,"       (2007 WJ3)",0.3716,1.3,APO
3395956,"       (2007 WM3)",0.4280,0.708,ATE
3395958,"       (2007 WP3)",0.4467,1.81,APO
3395960,"       (2007 WT3)",0.7219,3.62,APO
3395988,"       (2007 WZ4)",0.2814,1.59,APO
3395990,"       (2007 WC5)",0.2106,0.96,ATE
3397495,"       (2007 XO)",0.7289,2.04,APO
3397496,"       (2007 XP)",0.2707,0.98,ATE
3397572,"       (2007 XY9)",0.6195,2.94,APO
3397573,"       (2007 XZ9)",0.5864,2.92,APO
3397957,"       (2007 XN16)",0.6030,3.88,APO
3398066,"       (2007 XB23)",0.0415,1.04,APO
3398086,"       (2007 XV23)",0.6497,4.83,APO
3398087,"       (2007 XW23)",0.3854,1.74,APO
3398088,"       (2007 YF)",0.1198,0.931,ATE
3398093,"       (2007 YM)",0.6173,4.16,APO
3398134,"       (2007 YN1)",0.7192,4.43,APO
3398140,"       (2007 YB2)",0.6952,5.38,APO
3398651,"       (2007 YP56)",0.7082,2.82,APO
3398653,"       (2007 YR56)",0.5163,2.86,APO
3398654,"       (2007 YS56)",0.2839,0.915,ATE
3399085,"       (2008 AF3)",0.1910,1.32,APO
3399548,"       (2008 AU28)",0.5355,2.82,APO
3399920,"       (2008 AK33)",0.7199,3.3,APO
3400185,"       (2008 BC)",0.6003,3.77,APO
3400309,"       (2008 BW2)",0.3313,1.65,APO
3401100,"       (2008 BC15)",0.7140,3.28,APO
3401101,"       (2008 BD15)",0.1399,1.12,APO
3401102,"       (2008 BE15)",0.6603,3.94,APO
3401189,"       (2008 BN16)",0.6870,3.29,APO
3401190,"       (2008 BO16)",0.8111,3.78,APO
3401382,"       (2008 CH)",0.6883,3.57,APO
3401384,"       (2008 CK)",0.5241,3.01,APO
3401387,"       (2008 CQ)",0.3651,1.4,APO
3401432,"       (2008 CS1)",0.3723,1.36,APO
3401433,"       (2008 CT1)",0.4565,0.841,ATE
3401902,"       (2008 CZ4)",0.3791,1.48,APO
3402130,"       (2008 CB6)",0.4071,2.03,APO
3402131,"       (2008 CC6)",0.7744,1.42,APO
3402132,"       (2008 CD6)",0.5934,2.76,APO
3402133,"       (2008 CE6)",0.4786,2.62,APO
3402134,"       (2008 CL20)",0.3187,0.672,ATE
3402202,"       (2008 CC22)",0.5666,2.74,APO
3402204,"       (2008 CE22)",0.3121,1.35,APO
3402205,"       (2008 CF22)",0.5631,2.89,APO
3402245,"       (2008 CD70)",0.0824,1.12,APO
3402246,"       (2008 CE70)",0.3365,1.77,APO
3402249,"       (2008 CK70)",0.4696,1.16,APO
3402364,"       (2008 CC71)",0.3675,1.75,APO
3402366,"       (2008 CM74)",0.1475,1.14,APO
3402612,"       (2008 CK116)",0.5833,1.65,APO
3402615,"       (2008 CN116)",0.3613,1.35,APO
3403149,"       (2008 DB)",0.2329,1.08,APO
3403506,"       (2008 DJ)",0.6026,2.79,APO
3404128,"       (2008 DA4)",0.6221,3.79,APO
3404129,"       (2008 DG4)",0.6407,3.9,APO
3404165,"       (2008 DL4)",0.1228,0.896,ATE
3404364,"       (2008 DH5)",0.5072,1.89,APO
3404490,"       (2008 DU22)",0.3977,1.61,APO
3404493,"       (2008 DX22)",0.4704,1.56,APO
3404494,"       (2008 DY22)",0.2262,0.744,ATE
3404524,"       (2008 EH)",0.5817,3.58,APO
3404526,"       (2008 EL)",0.5388,1.16,APO
3404529,"       (2008 EO)",0.4690,1.3,APO
3404531,"       (2008 EQ)",0.4594,2.33,APO
3404768,"       (2008 EE5)",0.0716,0.918,ATE
3404769,"       (2008 ES5)",0.6394,2.75,APO
3404783,"       (2008 EX5)",0.3915,1.59,APO
3405085,"       (2008 EM7)",0.2433,1.38,APO
3405147,"       (2008 EZ7)",0.4481,2.41,APO
3405148,"       (2008 EA8)",0.6737,0.937,ATE
3405174,"       (2008 ED8)",0.5454,3.25,APO
3405189,"       (2008 EA9)",0.0740,1.07,APO
3405194,"       (2008 EG9)",0.4141,1.76,APO
3405333,"       (2008 EC32)",0.6470,2.89,APO
3405334,"       (2008 EF32)",0.5226,2.08,APO
3405335,"       (2008 EG32)",0.4301,2.03,APO
3405613,"       (2008 EJ68)",0.2776,1.14,APO
3405614,"       (2008 EK68)",0.3969,1.81,APO
3405338,"       (2008 EL68)",0.0571,1.06,APO
3405336,"       (2008 EM68)",0.5721,1.89,APO
3406024,"       (2008 EW84)",0.5821,2.31,APO
3406026,"       (2008 EY84)",0.1749,1.05,APO
3406027,"       (2008 EZ84)",0.1508,1.02,APO
3406332,"       (2008 ED85)",0.3490,1.84,APO
3406333,"       (2008 EE85)",0.3854,1.34,APO
3406334,"       (2008 EF85)",0.5412,3.01,APO
3406337,"       (2008 EJ85)",0.2601,1.33,APO
3406338,"       (2008 EK85)",0.2768,1.62,APO
3406339,"       (2008 EL85)",0.5571,2.62,APO
3406893,"       (2008 FC)",0.3443,1.87,APO
3407475,"       (2008 FH)",0.5111,2.03,APO
3407477,"       (2008 FK)",0.5723,2.64,APO
3407480,"       (2008 FO)",0.2761,1.38,APO
3407483,"       (2008 FF5)",0.9650,3.42,APO
3407485,"       (2008 FH5)",0.5200,2.74,APO
3407608,"       (2008 FW5)",0.5441,3.13,APO
3407681,"       (2008 FX6)",0.1270,0.886,ATE
3407941,"       (2008 FJ7)",0.2915,1.21,APO
3408012,"       (2008 GH)",0.7710,4.06,APO
3408129,"       (2008 GR)",0.4364,2.28,APO
3408173,"       (2008 GF1)",0.4633,1.33,APO
3408243,"       (2008 GL2)",0.1289,1.19,APO
3408244,"       (2008 GM2)",0.1578,1.08,APO
3408583,"       (2008 GP3)",0.3924,1.27,APO
3408589,"       (2008 GX3)",0.4771,2.6,APO
3408650,"       (2008 GL20)",0.2026,0.845,ATE
3408681,"       (2008 GO20)",0.4908,2.6,APO
3408698,"       (2008 GW20)",0.6151,3.66,APO
3408699,"       (2008 GB21)",0.4140,1.76,APO
3409434,"       (2008 GD110)",0.2542,1.03,APO
3409652,"       (2008 GE128)",0.4639,2.46,APO
3409624,"       (2008 HH)",0.3556,1.6,APO
3409625,"       (2008 HJ)",0.4071,2.08,APO
3409643,"       (2008 HX1)",0.5860,3.29,APO
3409649,"       (2008 HD2)",0.4457,1.77,APO
3409686,"       (2008 HQ3)",0.2627,1.58,APO
3409687,"       (2008 HR3)",0.6592,3.71,APO
3409707,"       (2008 HU4)",0.0556,1.11,APO
3409961,"       (2008 HB38)",0.4929,2.52,APO
3409962,"       (2008 HC38)",0.4807,1.45,APO
3409709,"       (2008 JC)",0.4632,1.07,APO
3409991,"       (2008 JQ)",0.1077,1.02,APO
3410171,"       (2008 JV2)",0.5214,3.02,APO
3410213,"       (2008 JL3)",0.5471,3.16,APO
3410533,"       (2008 JL24)",0.1067,1.06,APO
3410534,"       (2008 JP24)",0.2778,1.4,APO
3410576,"       (2008 JM26)",0.3083,1.6,APO
3410622,"       (2008 JD33)",0.3537,1.94,APO
3412706,"       (2008 KO)",0.7379,3.17,APO
3412749,"       (2008 KT)",0.0849,1.02,APO
3412892,"       (2008 KC6)",0.4393,1.58,APO
3412894,"       (2008 KE6)",0.5209,2.2,APO
3412932,"       (2008 KN11)",0.5290,2.23,APO
3413073,"       (2008 LA)",0.5754,3.32,APO
3413074,"       (2008 LB)",0.6144,3.94,APO
3413075,"       (2008 LC)",0.5267,3.11,APO
3413076,"       (2008 LD)",0.1513,0.847,ATE
3413164,"       (2008 LC2)",0.4993,1.02,APO
3413165,"       (2008 LG2)",0.2295,0.785,ATE
3413261,"       (2008 LH2)",0.2759,0.969,ATE
3414394,"       (2008 MP1)",0.5650,2.6,APO
3414400,"       (2008 MQ1)",0.2566,1.64,AMO
3414403,"       (2008 MV1)",0.6490,3.39,APO
3418109,"       (2008 NO3)",0.6648,4.77,APO
3419891,"       (2008 OO)",0.7020,3.05,APO
3421946,"       (2008 OY2)",0.6182,4.31,APO
3422140,"       (2008 OS7)",0.6467,2.64,APO
3422141,"       (2008 OT7)",0.3143,1.21,APO
3422249,"       (2008 OO8)",0.5074,2.94,APO
3423024,"       (2008 PF1)",0.4945,1.59,APO
3423026,"       (2008 PF2)",0.5798,3.84,AMO
3423200,"       (2008 PK3)",0.5970,2.6,APO
3423321,"       (2008 PW4)",0.2731,1.25,APO
3423762,"       (2008 PJ9)",0.6608,4.07,APO
3423763,"       (2008 PK9)",0.7245,2.09,APO
3423827,"       (2008 PR9)",0.5118,0.917,ATE
3426408,"       (2008 QS11)",0.4826,2.54,APO
3426409,"       (2008 QU11)",0.4958,2.38,APO
3426636,"       (2008 RV)",0.5636,3.42,APO
3426811,"       (2008 RW24)",0.5001,2.32,APO
3427741,"       (2008 RM98)",0.6441,4.07,APO
3427440,"       (2008 SA)",0.3331,1.53,APO
3427460,"       (2008 ST)",0.1262,0.945,ATE
3427522,"       (2008 SR1)",0.6518,3.65,APO
3427523,"       (2008 ST1)",0.3012,1.62,APO
3427737,"       (2008 ST7)",0.5135,2.69,APO
3427794,"       (2008 SV11)",0.7264,4.21,APO
3427985,"       (2008 SH82)",0.5955,3.8,APO
3428258,"       (2008 SH148)",0.6509,4.47,APO
3428259,"       (2008 SJ148)",0.3845,1.33,APO
3428344,"       (2008 SY148)",0.1932,1.4,APO
3428531,"       (2008 SY150)",0.3287,1.63,APO
3428533,"       (2008 TA)",0.6477,1.62,APO
3428698,"       (2008 TD)",0.3386,0.848,ATE
3428699,"       (2008 TE)",0.4514,1.87,APO
3428704,"       (2008 TL)",0.4804,2.32,APO
3429684,"       (2008 TZ)",0.3967,0.93,ATE
3429689,"       (2008 TE1)",0.4726,2.71,AMO
3429818,"       (2008 TC2)",0.3106,1.1,APO
3429820,"       (2008 TE2)",0.3257,1.83,APO
3429821,"       (2008 TF2)",0.3587,0.985,ATE
3430291,"       (2008 TC3)",0.3121,1.5,APO
3430304,"       (2008 TX3)",0.1865,1.28,APO
3430307,"       (2008 TA4)",0.1232,1.13,APO
3430311,"       (2008 TE4)",0.3678,1.77,APO
3430384,"       (2008 TN9)",0.3038,1.31,APO
3430385,"       (2008 TX9)",0.5103,2.65,APO
3430404,"       (2008 TP10)",0.6037,3.16,APO
3430407,"       (2008 TS10)",0.2026,1.41,APO
3430493,"       (2008 TQ26)",0.4921,2.4,APO
3430497,"       (2008 TS26)",0.5691,2.67,APO
3430494,"       (2008 TT26)",0.2573,1.56,APO
3432639,"       (2008 UR)",0.2718,1.51,APO
3432646,"       (2008 US)",0.6138,2.05,APO
3432676,"       (2008 UF1)",0.6344,2.55,APO
3432678,"       (2008 UM1)",0.6827,3.57,APO
3432688,"       (2008 UU1)",0.7505,2.04,APO
3432702,"       (2008 UR2)",0.3685,1.69,APO
3432704,"       (2008 UT2)",0.4843,2.43,APO
3433362,"       (2008 UB7)",0.5942,1.37,APO
3433363,"       (2008 UC7)",0.4447,1.52,APO
3433365,"       (2008 UE7)",0.4483,2.12,APO
3434369,"       (2008 UW91)",0.5716,1.23,APO
3435023,"       (2008 UB95)",0.2686,0.984,ATE
3435026,"       (2008 UT95)",0.5753,2.44,APO
3435027,"       (2008 UU95)",0.6851,3.99,APO
3435083,"       (2008 UW99)",0.6162,3.87,APO
3435539,"       (2008 UA202)",0.0685,1.05,APO
3435541,"       (2008 UC202)",0.0686,1.02,APO
3435544,"       (2008 VC)",0.1726,1.19,APO
3435549,"       (2008 VK)",0.4465,1.97,APO
3435551,"       (2008 VL)",0.6177,3.77,APO
3435552,"       (2008 VM)",0.3927,1.54,APO
3436407,"       (2008 VU3)",0.6188,3.92,APO
3437790,"       (2008 VZ3)",0.5249,2.52,APO
3437791,"       (2008 VA4)",0.2196,1.46,APO
3437792,"       (2008 VB4)",0.6189,3.63,APO
3437805,"       (2008 VR4)",0.3880,0.885,ATE
3438960,"       (2008 VL14)",0.8182,3.29,APO
3439359,"       (2008 WC)",0.4579,2.3,APO
3439361,"       (2008 WD)",0.6158,3.76,APO
3439560,"       (2008 WO2)",0.1882,1.04,APO
3439804,"       (2008 WA14)",0.4281,1.42,APO
3439807,"       (2008 WD14)",0.5659,3.34,APO
3439810,"       (2008 WG14)",0.4877,2.14,APO
3440319,"       (2008 WK60)",0.3204,0.688,ATE
3440392,"       (2008 WK61)",0.4199,2.14,APO
3440394,"       (2008 WM61)",0.3335,1.8,APO
3440395,"       (2008 WS62)",0.3157,1.43,APO
3440770,"       (2008 WY94)",0.1817,1.28,APO
3440790,"       (2008 WG96)",0.4927,1.08,APO
3440791,"       (2008 WH96)",0.4044,1.61,APO
3440792,"       (2008 WJ96)",0.5933,3.83,APO
3440793,"       (2008 WK96)",0.4993,2.31,APO
3441025,"       (2008 XH)",0.4524,1.59,APO
3441027,"       (2008 XK)",0.6854,4.7,APO
3441092,"       (2008 XS)",0.2130,1.44,APO
3441094,"       (2008 XC1)",0.5769,2.94,APO
3441114,"       (2008 XM1)",0.7868,3.62,APO
3441126,"       (2008 XA2)",0.6126,3.68,APO
3441127,"       (2008 XB2)",0.3776,1.25,APO
3441149,"       (2008 XQ2)",0.5529,3.27,APO
3441169,"       (2008 XU2)",0.6171,3.85,APO
3441820,"       (2008 YF)",0.4382,2.08,APO
3441844,"       (2008 YL2)",0.5419,2.02,APO
3441846,"       (2008 YN2)",0.2204,1.05,APO
3441847,"       (2008 YO2)",0.5881,2.15,APO
3441849,"       (2008 YQ2)",0.2553,1.05,APO
3441850,"       (2008 YC3)",0.0456,1.02,APO
3442839,"       (2008 YQ27)",0.3065,1.49,APO
3442844,"       (2008 YB29)",0.5795,3.67,APO
3442845,"       (2008 YC29)",0.3975,0.803,ATE
3442847,"       (2008 YF29)",0.6160,3.81,APO
3443216,"       (2008 YG30)",0.5033,2.38,APO
3443217,"       (2008 YH30)",0.4725,2.2,APO
3443805,"       (2008 YV32)",0.4141,1.89,APO
3443808,"       (2008 YY32)",0.5491,3.03,APO
3443811,"       (2009 AL)",0.6548,3.98,APO
3444273,"       (2009 AC16)",0.5415,1.9,APO
3444297,"       (2009 BD)",0.0519,1.09,APO
3444298,"       (2009 BE)",0.4460,1.79,APO
3444300,"       (2009 BG)",0.2728,1.16,APO
3444368,"       (2009 BF2)",0.1844,1.1,APO
3444370,"       (2009 BH2)",0.4758,0.735,ATE
3444371,"       (2009 BJ2)",0.2789,0.92,ATE
3444372,"       (2009 BK2)",0.2126,1.02,APO
3444375,"       (2009 BN2)",0.4976,2.39,APO
3444376,"       (2009 BW2)",0.1399,1.03,APO
3444436,"       (2009 BO5)",0.3264,1.7,APO
3444437,"       (2009 BP5)",0.6868,3.1,APO
3444439,"       (2009 BR5)",0.6593,2.89,APO
3444440,"       (2009 BS5)",0.3832,1.98,APO
3444553,"       (2009 BH11)",0.6426,3.74,APO
3445070,"       (2009 BE58)",0.5597,0.907,ATE
3445071,"       (2009 BF58)",0.3779,1.86,APO
3445072,"       (2009 BG58)",0.5102,2.9,APO
3445073,"       (2009 BH58)",0.5024,2.86,APO
3445075,"       (2009 BK58)",0.6189,4.08,APO
3445076,"       (2009 BL58)",0.4693,2.21,APO
3445539,"       (2009 BF81)",0.5507,2.95,APO
3445540,"       (2009 BG81)",0.4597,2.4,APO
3445599,"       (2009 CP)",0.5529,3.22,APO
3445600,"       (2009 CQ)",0.3826,1.65,APO
3445605,"       (2009 CV)",0.1507,1.18,APO
3445628,"       (2009 CZ1)",0.6607,3.39,APO
3445631,"       (2009 CC2)",0.6791,2.63,APO
3445632,"       (2009 CD2)",0.5137,2.83,APO
3446397,"       (2009 CV5)",0.4982,2.81,APO
3447910,"       (2009 DV)",0.7251,2.67,APO
3447911,"       (2009 DW)",0.4674,2.61,APO
3447919,"       (2009 DE1)",0.6119,2.28,APO
3447934,"       (2009 DR3)",0.5589,2.78,APO
3448005,"       (2009 DN4)",0.2387,1.36,APO
3448069,"       (2009 DT10)",0.6208,2.99,APO
3448070,"       (2009 DU10)",0.3470,1.81,APO
3448785,"       (2009 DM40)",0.3433,1.54,APO
3448963,"       (2009 DB43)",0.1718,1.16,APO
3448965,"       (2009 DS43)",0.4585,1.38,APO
3448966,"       (2009 DT43)",0.6685,4.07,APO
3448967,"       (2009 DV43)",0.6550,3.24,APO
3448991,"       (2009 DC45)",0.3696,1.68,APO
3448992,"       (2009 DD45)",0.2048,1.38,APO
3448993,"       (2009 DM45)",0.3673,1.27,APO
3449053,"       (2009 DJ46)",0.3215,1.43,APO
3449749,"       (2009 DO111)",0.2815,1.08,APO
3449055,"       (2009 EA)",0.5378,3.19,APO
3449118,"       (2009 ET)",0.3055,1.74,APO
3449119,"       (2009 EU)",0.5192,2.64,APO
3449121,"       (2009 EW)",0.3892,1.41,APO
3449123,"       (2009 EY)",0.5221,2.49,APO
3449132,"       (2009 EH1)",0.3495,1.26,APO
3449133,"       (2009 EJ1)",0.4749,2.02,APO
3451021,"       (2009 EH3)",0.6146,2.82,APO
3451789,"       (2009 FE)",0.6138,4.02,APO
3451790,"       (2009 FF)",0.4684,1.79,APO
3451791,"       (2009 FG)",0.5307,2.77,APO
3451792,"       (2009 FH)",0.3391,1.79,APO
3451793,"       (2009 FJ)",0.5686,3.27,APO
3451794,"       (2009 FK)",0.3706,1.88,APO
3451796,"       (2009 FP)",0.5347,2.6,APO
3454526,"       (2009 FR)",0.5239,3.04,APO
3454527,"       (2009 FS)",0.6207,3.83,APO
3454729,"       (2009 FS4)",0.5840,3.88,AMO
3454733,"       (2009 FW4)",0.5676,2.53,APO
3454734,"       (2009 FX4)",0.3218,1.46,APO
3454736,"       (2009 FZ4)",0.2496,1.19,APO
3454893,"       (2009 FX10)",0.2965,1.31,APO
3454895,"       (2009 FZ10)",0.5972,3.11,APO
3455136,"       (2009 FT23)",0.4457,1.31,APO
3455138,"       (2009 FV23)",0.4224,2.34,AMO
3455348,"       (2009 FJ30)",0.6129,3.36,APO
3455349,"       (2009 FU30)",0.5968,3.72,APO
3455469,"       (2009 FO32)",0.5080,1.57,APO
3455470,"       (2009 FP32)",0.5935,2.73,APO
3455471,"       (2009 FQ32)",0.1886,1.36,APO
3457386,"       (2009 HC)",0.1257,1.05,APO
3457844,"       (2009 HE21)",0.8552,3.72,APO
3457845,"       (2009 HF21)",0.5698,3.58,APO
3457846,"       (2009 HG21)",0.3679,0.865,ATE
3457848,"       (2009 HJ21)",0.6476,2.09,APO
3457849,"       (2009 HL21)",0.4447,2.15,APO
3458492,"       (2009 HJ36)",0.3570,1.98,APO
3458578,"       (2009 HS44)",0.7022,4.13,APO
3458579,"       (2009 HU44)",0.6441,0.757,ATE
3458970,"       (2009 HE60)",0.2645,0.993,ATE
3458972,"       (2009 HG60)",0.6446,2.79,APO
3459084,"       (2009 HW67)",0.7512,2.94,APO
3459175,"       (2009 HK73)",0.2826,1.39,APO
3459310,"       (2009 JA)",0.3262,1.7,APO
3459430,"       (2009 JS)",0.3592,1.56,APO
3459472,"       (2009 JE1)",0.2974,1.61,APO
3459473,"       (2009 JF1)",0.7384,2.61,APO
3459484,"       (2009 JM1)",0.4538,1.05,APO
3459656,"       (2009 JG2)",0.6591,2.9,APO
3459796,"       (2009 JL2)",0.4717,2.53,APO
3460261,"       (2009 KL)",0.5902,2.81,APO
3461178,"       (2009 KW2)",0.2539,1.59,APO
3462016,"       (2009 KL8)",0.4725,2.25,APO
3462071,"       (2009 KR21)",0.5195,2.28,APO
3462099,"       (2009 LA)",0.3107,1.39,APO
3462504,"       (2009 LD)",0.1504,0.982,ATE
3462505,"       (2009 LE)",0.2352,1.49,APO
3463173,"       (2009 LU2)",0.5104,1.68,APO
3463370,"       (2009 MU)",0.6108,3.45,APO
3463389,"       (2009 MG1)",0.6254,2.84,APO
3463448,"       (2009 MN8)",0.5445,3.32,APO
3464007,"       (2009 OF)",0.5992,3.61,APO
3465252,"       (2009 OW6)",0.4818,2.73,APO
3465690,"       (2009 PQ1)",0.4893,1.83,APO
3465691,"       (2009 PR1)",0.3120,1.82,AMO
3465716,"       (2009 PA3)",0.4387,1.63,APO
3465718,"       (2009 QR)",0.2481,1.48,APO
3465888,"       (2009 QG2)",0.5725,3.57,APO
3465951,"       (2009 QH6)",0.1879,1.09,APO
3466070,"       (2009 QK9)",0.5409,2.48,APO
3466111,"       (2009 QC23)",0.5194,3.04,APO
3466625,"       (2009 QE34)",0.2320,1.46,APO
3466628,"       (2009 QH34)",0.5599,3.47,APO
3466654,"       (2009 QC35)",0.5673,3.24,APO
3467048,"       (2009 RH)",0.3062,1.39,APO
3467062,"       (2009 RR)",0.4645,1.66,APO
3467084,"       (2009 RU1)",0.3806,1.57,APO
3467085,"       (2009 RV1)",0.6374,4.43,APO
3467094,"       (2009 RG2)",0.3740,1.94,APO
3467147,"       (2009 RY3)",0.4734,1.08,APO
3467177,"       (2009 SB)",0.8009,3.29,APO
3467179,"       (2009 SD)",0.5676,2.29,APO
3467183,"       (2009 SJ)",0.2650,1.37,APO
3467187,"       (2009 SN)",0.3219,1.71,APO
3467220,"       (2009 SD1)",0.5070,2.26,APO
3467221,"       (2009 SH1)",0.2447,1.31,APO
3467227,"       (2009 SW1)",0.5676,3.07,APO
3467258,"       (2009 SH2)",0.0942,0.987,ATE
3467315,"       (2009 SD15)",0.6252,3.57,APO
3467316,"       (2009 SH15)",0.4534,2.48,APO
3467318,"       (2009 SK15)",0.1018,1.19,APO
3467394,"       (2009 SG18)",0.6737,5.3,APO
3467748,"       (2009 SM98)",0.7006,3.79,APO
3468431,"       (2009 SA100)",0.2864,1.23,APO
3468488,"       (2009 SN103)",0.2653,1.48,APO
3468530,"       (2009 SP104)",0.5326,1.14,APO
3468535,"       (2009 SU104)",0.6971,3.91,APO
3468663,"       (2009 SC170)",0.3027,1.69,APO
3469644,"       (2009 SW171)",0.2334,1.54,AMO
3470497,"       (2009 TB)",0.6603,4.11,APO
3470902,"       (2009 TJ)",0.5904,2.97,APO
3471215,"       (2009 TP)",0.2240,1.04,APO
3471216,"       (2009 TQ)",0.2359,1.41,APO
3471217,"       (2009 TS)",0.4636,2.45,APO
3471219,"       (2009 TU)",0.5587,2.27,APO
3471356,"       (2009 TJ4)",0.1249,1.14,APO
3471359,"       (2009 TS7)",0.6144,3.37,APO
3471514,"       (2009 TD8)",0.2453,0.83,ATE
3471515,"       (2009 TF8)",0.4014,2.09,APO
3471517,"       (2009 TH8)",0.5916,2.93,APO
3471520,"       (2009 TM8)",0.4061,1.93,APO
3471522,"       (2009 TO8)",0.5400,2.9,APO
3471524,"       (2009 TQ8)",0.4207,1.45,APO
3471976,"       (2009 TD17)",0.2200,1.2,APO
3471584,"       (2009 UB)",0.2915,1.55,APO
3471585,"       (2009 UC)",0.3474,0.662,ATE
3471586,"       (2009 UD)",0.1216,1.06,APO
3471587,"       (2009 UE)",0.5062,2.81,APO
3471589,"       (2009 UG)",0.3754,0.7,ATE
3471657,"       (2009 UJ)",0.6616,4.2,APO
3471663,"       (2009 UQ)",0.5349,2.38,APO
3471687,"       (2009 UK1)",0.5685,3.25,APO
3471691,"       (2009 UO1)",0.4716,1.88,APO
3471693,"       (2009 UU1)",0.3311,1.3,APO
3471972,"       (2009 UJ5)",0.5861,3.76,APO
3471975,"       (2009 UR5)",0.3662,0.68,ATE
3472194,"       (2009 UK14)",0.4664,2.31,APO
3472299,"       (2009 UY17)",0.3163,0.741,ATE
3472366,"       (2009 UC19)",0.2980,1.12,APO
3472375,"       (2009 UY19)",0.0308,1.04,APO
3472376,"       (2009 UZ19)",0.3800,2.08,APO
3472549,"       (2009 UK20)",0.2072,1.08,APO
3472551,"       (2009 UL28)",0.5334,2.89,APO
3472697,"       (2009 UW87)",0.5461,2.74,APO
3472698,"       (2009 UX87)",0.1139,1.15,APO
3472700,"       (2009 UZ87)",0.1886,0.887,ATE
3474857,"       (2009 VA)",0.3574,1.71,APO
3475232,"       (2009 VQ)",0.5825,3.77,APO
3475233,"       (2009 VR)",0.3973,1.98,APO
3475235,"       (2009 VT)",0.3995,1.6,APO
3475237,"       (2009 VX)",0.6658,4.01,APO
3475238,"       (2009 VZ)",0.3253,1.68,APO
3475241,"       (2009 VC1)",0.5153,2.45,APO
3475468,"       (2009 VT1)",0.5017,2.78,APO
3475991,"       (2009 VL24)",0.5767,2.51,APO
3476131,"       (2009 VR25)",0.4522,1.82,APO
3476526,"       (2009 VZ39)",0.3797,1.79,APO
3476771,"       (2009 VQ44)",0.7265,1.56,APO
3476773,"       (2009 VS44)",0.4221,1.99,APO
3476776,"       (2009 WC)",0.3548,1.82,APO
3477574,"       (2009 WJ1)",0.6785,3.85,APO
3477696,"       (2009 WJ6)",0.6337,2.35,APO
3477700,"       (2009 WN6)",0.3861,1.99,APO
3477702,"       (2009 WP6)",0.7414,1.2,APO
3477703,"       (2009 WQ6)",0.4087,0.807,ATE
